id,block,target,target_label,label,dropped,n_features,best_iter,n_test,test_mean,test_std,r2,rmse
A::tgt_ti::B0_const,target_compare,tgt_ti,湍流強度 TI = σ/U,B0_const,,0,-1,65445,0.08020098507404327,0.05476002022624016,-0.01601123809814453,0.055196668952703476
A::tgt_ti::B2_linear,target_compare,tgt_ti,湍流強度 TI = σ/U,B2_linear,,0,-1,65445,0.08020098507404327,0.05476002022624016,0.09309232234954834,0.05214889720082283
A::tgt_ti::B3_speed,target_compare,tgt_ti,湍流強度 TI = σ/U,B3_speed,,1,78,65445,0.08020098507404327,0.05476002022624016,0.13681116477123767,0.0508764146924999
A::tgt_ti::B4_full,target_compare,tgt_ti,湍流強度 TI = σ/U,B4_full,,17,680,65445,0.08020098507404327,0.05476002022624016,0.7549158156310278,0.027109482958629107
A::tgt_gustfac::B0_const,target_compare,tgt_gustfac,3 秒陣風因子 gust/U,B0_const,,0,-1,65445,1.1801904439926147,0.12647107243537903,-0.01344764232635498,0.1273185908794403
A::tgt_gustfac::B2_linear,target_compare,tgt_gustfac,3 秒陣風因子 gust/U,B2_linear,,0,-1,65445,1.1801904439926147,0.12647107243537903,0.12221580743789673,0.11849091202020645
A::tgt_gustfac::B3_speed,target_compare,tgt_gustfac,3 秒陣風因子 gust/U,B3_speed,,1,83,65445,1.1801904439926147,0.12647107243537903,0.15950769874712956,0.11594660713407488
A::tgt_gustfac::B4_full,target_compare,tgt_gustfac,3 秒陣風因子 gust/U,B4_full,,17,285,65445,1.1801904439926147,0.12647107243537903,0.7465558492043722,0.06366962781195955
A::tgt_p99n::B0_const,target_compare,tgt_p99n,p99 / U,B0_const,,0,-1,65445,1.1612234115600586,0.11250680685043335,-0.01368415355682373,0.1132739707827568
A::tgt_p99n::B2_linear,target_compare,tgt_p99n,p99 / U,B2_linear,,0,-1,65445,1.1612234115600586,0.11250680685043335,0.1172991394996643,0.10570257902145386
A::tgt_p99n::B3_speed,target_compare,tgt_p99n,p99 / U,B3_speed,,1,83,65445,1.1612234115600586,0.11250680685043335,0.1551611546699323,0.10341076354660325
A::tgt_p99n::B4_full,target_compare,tgt_p99n,p99 / U,B4_full,,17,265,65445,1.1612234115600586,0.11250680685043335,0.7548461038099685,0.05570551678201673
A::tgt_p01n::B0_const,target_compare,tgt_p01n,p01 / U,B0_const,,0,-1,65445,0.812149167060852,0.11777281016111374,-0.018753647804260254,0.1188720166683197
A::tgt_p01n::B2_linear,target_compare,tgt_p01n,p01 / U,B2_linear,,0,-1,65445,0.812149167060852,0.11777281016111374,0.06756049394607544,0.11372485011816025
A::tgt_p01n::B3_speed,target_compare,tgt_p01n,p01 / U,B3_speed,,1,80,65445,0.812149167060852,0.11777281016111374,0.11444369159852452,0.11082892719524434
A::tgt_p01n::B4_full,target_compare,tgt_p01n,p01 / U,B4_full,,17,755,65445,0.812149167060852,0.11777281016111374,0.7162565731019723,0.06273471705373986
A::tgt_specslope::B0_const,target_compare,tgt_specslope,頻譜斜率,B0_const,,0,-1,65445,-1.6335164308547974,0.29223546385765076,-0.0011377334594726562,0.29240164160728455
A::tgt_specslope::B2_linear,target_compare,tgt_specslope,頻譜斜率,B2_linear,,0,-1,65445,-1.6335164308547974,0.29223546385765076,0.006109893321990967,0.2913413345813751
A::tgt_specslope::B3_speed,target_compare,tgt_specslope,頻譜斜率,B3_speed,,1,22,65445,-1.6335164308547974,0.29223546385765076,0.005317369095044211,0.2914574652961933
A::tgt_specslope::B4_full,target_compare,tgt_specslope,頻譜斜率,B4_full,,17,13,65445,-1.6335164308547974,0.29223546385765076,0.09523516494612227,0.27797182145826804
A::tgt_intscale::B0_const,target_compare,tgt_intscale,積分時間尺度 T_u,B0_const,,0,-1,65445,14.74533748626709,8.29690170288086,-0.0027723312377929688,8.308395385742188
A::tgt_intscale::B2_linear,target_compare,tgt_intscale,積分時間尺度 T_u,B2_linear,,0,-1,65445,14.74533748626709,8.29690170288086,-0.004774332046508789,8.316683769226074
A::tgt_intscale::B3_speed,target_compare,tgt_intscale,積分時間尺度 T_u,B3_speed,,1,29,65445,14.74533748626709,8.29690170288086,0.0077636314781667215,8.264632153531423
A::tgt_intscale::B4_full,target_compare,tgt_intscale,積分時間尺度 T_u,B4_full,,17,16,65445,14.74533748626709,8.29690170288086,0.03134747375344382,8.16582306766928
A::tgt_gust_raw::B0_const,target_compare,tgt_gust_raw,3 秒陣風（未正規化）,B0_const,,0,-1,65445,11.922952651977539,5.578274726867676,-6.794929504394531e-06,5.578293800354004
A::tgt_gust_raw::B2_linear,target_compare,tgt_gust_raw,3 秒陣風（未正規化）,B2_linear,,0,-1,65445,11.922952651977539,5.578274726867676,0.9786047339439392,0.8159406781196594
A::tgt_gust_raw::B3_speed,target_compare,tgt_gust_raw,3 秒陣風（未正規化）,B3_speed,,1,41,65445,11.922952651977539,5.578274726867676,0.9788415586805578,0.8114126142312781
A::tgt_gust_raw::B4_full,target_compare,tgt_gust_raw,3 秒陣風（未正規化）,B4_full,,17,135,65445,11.922952651977539,5.578274726867676,0.9906808542792319,0.538502806031125
A::tgt_p99_raw::B0_const,target_compare,tgt_p99_raw,p99（未正規化）,B0_const,,0,-1,65445,11.758916854858398,5.54414176940918,-1.33514404296875e-05,5.5441789627075195
A::tgt_p99_raw::B2_linear,target_compare,tgt_p99_raw,p99（未正規化）,B2_linear,,0,-1,65445,11.758916854858398,5.54414176940918,0.9829062819480896,0.7248568534851074
A::tgt_p99_raw::B3_speed,target_compare,tgt_p99_raw,p99（未正規化）,B3_speed,,1,42,65445,11.758916854858398,5.54414176940918,0.9830146270722843,0.7225566042567202
A::tgt_p99_raw::B4_full,target_compare,tgt_p99_raw,p99（未正規化）,B4_full,,17,340,65445,11.758916854858398,5.54414176940918,0.9927259310414708,0.4728496136547423
B::speed_only,group,tgt_ti,湍流強度 TI = σ/U,只用風速剖面,,3,320,65445,0.08020098507404327,0.05476002022624016,0.6230777180568946,0.03361936430304148
B::add::風向,group,tgt_ti,湍流強度 TI = σ/U,風速 + 風向,,8,781,65445,0.08020098507404327,0.05476002022624016,0.7447238828065198,0.02766742135598776
B::add::風切,group,tgt_ti,湍流強度 TI = σ/U,風速 + 風切,,4,313,65445,0.08020098507404327,0.05476002022624016,0.6219797366910729,0.03366829560003689
B::add::熱力,group,tgt_ti,湍流強度 TI = σ/U,風速 + 熱力,,7,218,65445,0.08020098507404327,0.05476002022624016,0.6749318889129977,0.0312212851084203
B::add::時間,group,tgt_ti,湍流強度 TI = σ/U,風速 + 時間,,7,261,65445,0.08020098507404327,0.05476002022624016,0.6426580115513316,0.032734492804438846
B::full,group,tgt_ti,湍流強度 TI = σ/U,完整（全部特徵）,,17,680,65445,0.08020098507404327,0.05476002022624016,0.7549158156310278,0.027109482958629107
B::loo_group::風速剖面,group,tgt_ti,湍流強度 TI = σ/U,完整 − 風速剖面,,14,539,65445,0.08020098507404327,0.05476002022624016,0.724669699906095,0.028733636639478356
B::loo_group::風向,group,tgt_ti,湍流強度 TI = σ/U,完整 − 風向,,12,142,65445,0.08020098507404327,0.05476002022624016,0.681171744150392,0.030920178547342587
B::loo_group::風切,group,tgt_ti,湍流強度 TI = σ/U,完整 − 風切,,16,797,65445,0.08020098507404327,0.05476002022624016,0.742153725200245,0.027806352377131555
B::loo_group::熱力,group,tgt_ti,湍流強度 TI = σ/U,完整 − 熱力,,13,773,65445,0.08020098507404327,0.05476002022624016,0.7679514729549617,0.02637867635098463
B::loo_group::時間,group,tgt_ti,湍流強度 TI = σ/U,完整 − 時間,,13,800,65445,0.08020098507404327,0.05476002022624016,0.7524311711505968,0.02724655335178243
C::loo_feat::WS_100_mean,feature_loo,tgt_ti,湍流強度 TI = σ/U,完整 − WS_100_mean,WS_100_mean,16,800,65445,0.08020098507404327,0.05476002022624016,0.7528692966930738,0.027222433398662885
C::loo_feat::WS_69W_mean,feature_loo,tgt_ti,湍流強度 TI = σ/U,完整 − WS_69W_mean,WS_69W_mean,16,398,65445,0.08020098507404327,0.05476002022624016,0.7442944676123204,0.027690682088499043
C::loo_feat::WS_38W_mean,feature_loo,tgt_ti,湍流強度 TI = σ/U,完整 − WS_38W_mean,WS_38W_mean,16,577,65445,0.08020098507404327,0.05476002022624016,0.749733883827855,0.027394578228915223
C::loo_feat::shear_alpha,feature_loo,tgt_ti,湍流強度 TI = σ/U,完整 − shear_alpha,shear_alpha,16,797,65445,0.08020098507404327,0.05476002022624016,0.742153725200245,0.027806352377131555
C::loo_feat::WD_97_sin,feature_loo,tgt_ti,湍流強度 TI = σ/U,完整 − WD_97_sin,WD_97_sin,16,676,65445,0.08020098507404327,0.05476002022624016,0.7478751594741948,0.027496119692588736
C::loo_feat::WD_97_cos,feature_loo,tgt_ti,湍流強度 TI = σ/U,完整 − WD_97_cos,WD_97_cos,16,423,65445,0.08020098507404327,0.05476002022624016,0.7402730220985758,0.02790757641064675
C::loo_feat::WD_35_sin,feature_loo,tgt_ti,湍流強度 TI = σ/U,完整 − WD_35_sin,WD_35_sin,16,395,65445,0.08020098507404327,0.05476002022624016,0.7397172766008906,0.027937417789451118
C::loo_feat::WD_35_cos,feature_loo,tgt_ti,湍流強度 TI = σ/U,完整 − WD_35_cos,WD_35_cos,16,688,65445,0.08020098507404327,0.05476002022624016,0.7397902388586313,0.027933501817004217
C::loo_feat::veer_97_35,feature_loo,tgt_ti,湍流強度 TI = σ/U,完整 − veer_97_35,veer_97_35,16,800,65445,0.08020098507404327,0.05476002022624016,0.7733585735144967,0.026069532245498576
C::loo_feat::AT_95_mean,feature_loo,tgt_ti,湍流強度 TI = σ/U,完整 − AT_95_mean,AT_95_mean,16,800,65445,0.08020098507404327,0.05476002022624016,0.7610614663298537,0.026767430792208155
C::loo_feat::RH_95_mean,feature_loo,tgt_ti,湍流強度 TI = σ/U,完整 − RH_95_mean,RH_95_mean,16,791,65445,0.08020098507404327,0.05476002022624016,0.7651829568227525,0.026535568653769444
C::loo_feat::BP_93_mean,feature_loo,tgt_ti,湍流強度 TI = σ/U,完整 − BP_93_mean,BP_93_mean,16,795,65445,0.08020098507404327,0.05476002022624016,0.7528223630089571,0.027225018242265253
C::loo_feat::air_density,feature_loo,tgt_ti,湍流強度 TI = σ/U,完整 − air_density,air_density,16,789,65445,0.08020098507404327,0.05476002022624016,0.7449477629541117,0.027655286368323907
C::loo_feat::hour_sin,feature_loo,tgt_ti,湍流強度 TI = σ/U,完整 − hour_sin,hour_sin,16,443,65445,0.08020098507404327,0.05476002022624016,0.7516084306697677,0.02729178975943683
C::loo_feat::hour_cos,feature_loo,tgt_ti,湍流強度 TI = σ/U,完整 − hour_cos,hour_cos,16,596,65445,0.08020098507404327,0.05476002022624016,0.7584979161412964,0.0269106403834966
C::loo_feat::doy_sin,feature_loo,tgt_ti,湍流強度 TI = σ/U,完整 − doy_sin,doy_sin,16,529,65445,0.08020098507404327,0.05476002022624016,0.7579088042270994,0.02694344283874263
C::loo_feat::doy_cos,feature_loo,tgt_ti,湍流強度 TI = σ/U,完整 − doy_cos,doy_cos,16,789,65445,0.08020098507404327,0.05476002022624016,0.7590563375187331,0.026879509857340354
